title,author,edition,reviews,ratings,synopsis,genre,bookcategory
Guru Dutt: A Tragedy in Three Acts,Arun Khopkar,"Paperback,– 7 Nov 2012",3.9 out of 5 stars,14 customer reviews,"A layered portrait of a troubled genius for whom art was not merely a thing of beauty but a vital part of living itself.
Selling Points: The original Marathi book won the National Award for Best Book on Cinema (in 1986), now available for the first time in English.
The Book: Guru Dutt is now named along with the masters of world cinema—like Orson Welles, Mizoguchi, Hitchcock, Jancso, Ophuls—for his innovative cinematic form and his deep humanism and compassion. In Guru Dutt: A Tragedy in Three Acts, renowned film-maker and scholar Arun Khopkar sheds new light on Dutt’s genius through a close examination of Dutt’s three best-known films—Pyaasa, Kaagaz Ke Phool and Sahib Biwi Aur Ghulam. With a nuanced eye, Khopkar explores the historical context which influenced Dutt’s deeply melancholic style while also analyzing the intricacies of the medium—acting, lighting, music, editing, rhythm—that Dutt carefully deployed to create his masterpieces. Originally written in Marathi, this exquisite English translation paints a layered portrait of a troubled genius for whom art was not merely a thing of beauty but a vital part of living itself.",Cinema & Broadcast (Books),"Biographies, Diaries & True Accounts"
Leviathan (Penguin Classics),Thomas Hobbes,"Paperback,– 25 Feb 1982",4.8 out of 5 stars,6 customer reviews,"""During the time men live without a common Power to keep them all in awe, they are in that condition which is called Warre""

Written during the turmoil of the English Civil War, Leviathan is an ambitious and highly original work of political philosophy. Claiming that man's essential nature is competitive and selfish, Hobbes formulates the case for a powerful sovereign—or ""Leviathan""—to enforce peace and the law, substituting security for the anarchic freedom he believed human beings would otherwise experience. This worldview shocked many of Hobbes's contemporaries, and his work was publicly burnt for sedition and blasphemy when it was first published. But in his rejection of Aristotle's view of man as a naturally social being, and in his painstaking analysis of the ways in which society can and should function, Hobbes opened up a whole new world of political science.

Based on the original 1651 text, this edition incorporates Hobbes's own corrections, while also retaining the original spelling and punctuation, to read with vividness and clarity. C. B. Macpherson's introduction elucidates one of the most fascinating works of modern philosophy for the general reader.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",International Relations,Humour
"The Art of Shaolin Kung Fu: The Secrets of Kung Fu for Self-Defense, Health, and Enlightenment (Tuttle Martial Arts)",Wong Kiew Kit,"Paperback,– 15 Nov 2002",5.0 out of 5 stars,3 customer reviews,"The Art of Shaolin Kung Fu is the ultimate guide to Kung Fu, from theory to practical application.

This unique martial arts book, by a renowned Grandmaster, is a complete and comprehensive introduction to Kung Fu and all other aspects of ancient Shaolin wisdom. You will learn the ancient art of the Shaolin monks from the famous Shaolin monastery. It will prove invaluable to everyone interested in martial arts, chi kung, and meditation, showing how Kung Fu and other Shaolin arts can bring you health, vitality, mental focus, and spiritual joy.

Chapters include:
What is Kung Fu?—Four Aspects of Kung Fu; The Importance of Force Training; Application for Combat and Daily Living; Kung Fu Philosophy for Deeper Understanding; The Benefits of Kung Fu
The Historical Development of Chinese Martial Arts—Kung Fu in Prehistoric and Ancient Times; The Glorious Han and Tang; The Modern Period
From Shaolin to Taijiquan—Shaolin Kung Fu; The Various Styles of Taijiquan; Soft and Hard, Internal and External
A Comparative Study of Kung Fu—Contrasting Shaolin and Wudang Kung Fu; Xingyi Kung Fu and Taoist Concepts; Tanglangquan or Praying Mantis Kung Fu; The Spread of Southern Kung Fu
Defining Aims and Objectives—Setting Aims for Kung Fu Training; Personal Objectives; Course Objectives
The Foundation of Shaolin Kung Fu—Inheritance from Past Masters; Various Shaolin Hand Forms; Basic Shaolin Patterns
From Form to Combat Application—The Four Directions of Attack; The Principles of Effective Combat; Specific Techniques Against Kicks
Combat Sequences and Set Practice—Relieving Injuries Sustained in Sparring; Composing Your Own Kung Fu Sets
Shaolin Five Animals—Understanding Characteristics and Essence; The Five-Animal Set; The Names of the Five-Animal Patterns
Five-Animal Combination Set—How to Improve Combat Efficiency; Spacing and Timing in Combat
The Internal Force of Shaolin Kung Fu—The Relationship Between Technique and Force; The Compassionate Art of Qin-Na; The Internal Force of Tiger Claw
Tactics and Strategies—Using Continuous Attack Effectively; A Tactic to Distract Your Opponent; Selecting Strategies to Suit Particular Situations
Classical Kung Fu Weapons—Staffs; Whips, Knives and Other Weapons; Light and Heavy Weapons
Understanding and Developing Chi—The Various Genres of Chi Kung; Lohan Embracing Buddha; Abdominal Breathing
Shaolin Kung Fu and Zen—Culitvating Heart, Nourishing Nature; Bodhidharma and Taoism in Zen
The Shaolin Way to Enlightenment—Attaining a Focused Mind; Meditation to Train Awareness; Shaolin Kung Fu for Spiritual Development",Asian History,Sports
Superman: An Origin Story (DC Comics Super Heroes),Matthew K Manning,"Paperback,– 26 Feb 2015",5.0 out of 5 stars,2 customer reviews,"One day, an alien orphan crash-lands on Earth and is adopted by a human couple, the Kents. Many years later, that little baby becomes Superman, protector of Earth! But how did the Man of Steel go from orphan to super hero? Experience Clark Kent's incredible journey in this action-packed chapter book for early readers featuring vibrant art by DC Comics illustrators.",Comics & Mangas (Books),Comics & Mangas
"Naruto: Itachi's Story, Vol. 1: Daylight",Takashi Yano,"Paperback,– 1 Nov 2016",4.9 out of 5 stars,23 customer reviews,"A new series of prose novels, straight from the worldwide Naruto franchise. Naruto’s allies and enemies take center stage in these fast-paced adventures, with each volume focusing on a particular clan mate, ally, team…or villain.

Uchiha Itachi, four years of age. With the hell of war burned into his eyes, the boy makes a resolution: he will rid this world of all violence. The birth of Sasuke, meeting his friend Shisui, the academy, genin, chunin, and then the Anbu—Itachi races down the path of glory toward his dream of becoming the first Uchiha Hokage, unaware of the darkness that lies ahead… ",Mangas,Comics & Mangas
Light on Life (Arkana),Hart Defouw,"Paperback,– 14 Oct 2000",4.4 out of 5 stars,49 customer reviews,"Light on Life brings the insight and wisdom of Indian astrology to the Western reader. Jyotish or Indian astrology is an ancient and complex method of exploring the nature of time and space and its effect upon the individual. Formerly a closed book to the West, the subject has now been clarified and explained by Hart deFouw and Robert Svoboda, two experts and long-term practitioners. In Light on Life they have created a complete and thorough handbook that can be appreciated and understood by those with very little knowledge of astrology. Jyotish states that by considering the state of the cosmos when an event occurs, we can begin to understand its nature- and to prepare an appropriate response. Although there are similarities with Western astrology there are also profound differences. Jyotish is, above all, infused with the religious, psychological and physical spirit of India. This comprehensive and enlightening book on the subject will prove a necessity to every astrologer or student of Indian thought.",Astrology,"Biographies, Diaries & True Accounts"
Don't Ask Any Old Bloke for Directions,Palden Gyatso Tenzing,"Paperback,– 17 Apr 2009",3.9 out of 5 stars,61 customer reviews,"Exploring a karmic network in 25,320 kilometres After twenty years in the Indian Administrative Service, P.G. Tenzing throws off the staid life of a bureaucrat to roar across India on an Enfield Thunderbird, travelling light with his possessions strapped on the back of his bike. On the nine-month motorcycle journey without a pre-planned route or direction, he encounters acquaintances who appear to be from his karmic past: from the roadside barber to numerous waiters and mechanics― fleeting human interactions and connections that seem pre-ordained. Life on the road is full of pot holes in more ways than one, but Tenzing acquires a wheelie’s sixth sense. He is unfazed by suspicious hotel receptionists or other unkarmic sceptics who take one look at his dishevelled, unkempt appearance and ask for an advance, or a deposit or both. Tenzing’s views on life and death, friendship and love are informed by a certain dark humour. But his conviction that everything revolves around the sacred bond that humans share with each other and with the universe is deeply felt and inspiring. Sometime singer with a Gangtok band, a dabbler in vipassana meditation and a supporter of a monk's school at Mangan, Sikkim, P.G. Tenzing is self-confessedly at a mid-life crisis point and ready for all the adventures this world has to offer.",Travel (Books),"Biographies, Diaries & True Accounts"
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,"Paperback,– 7 May 2015",4.7 out of 5 stars,285 customer reviews,"The million-copy bestselling phenomenon, Fredrik Backman's heartwarming debut is a funny, moving, uplifting tale of love and community that will leave you with a spring in your step. Perfect for fans of Rachel Joyce's The Unlikely Pilgrimage of Harold Fry, Graeme Simsion's The Rosie Project and David Nicholl's US.
New York Times bestseller

'Warm, funny, and almost unbearably moving' Daily Mail

'Rescued all those men who constantly mean to read novels but never get round to it' Spectator Books of the Year
At first sight, Ove is almost certainly the grumpiest man you will ever meet. He thinks himself surrounded by idiots - neighbours who can't reverse a trailer properly, joggers, shop assistants who talk in code, and the perpetrators of the vicious coup d'etat that ousted him as Chairman of the Residents' Association. He will persist in making his daily inspection rounds of the local streets.
But isn't it rare, these days, to find such old-fashioned clarity of belief and deed? Such unswerving conviction about what the world should be, and a lifelong dedication to making it just so?
In the end, you will see, there is something about Ove that is quite irresistible...",Action & Adventure (Books),Action & Adventure
The Untold Vajpayee: Politician and Paradox,Ullekh N P,"Hardcover,– 25 Dec 2016",3.7 out of 5 stars,27 customer reviews,"Despite his grand ‘secular’ statements in Parliament that bordered on the Nehruvian, Atal Bihari Vajpayee has often taken brief excursions into the hard-line camp. In 1983, he made an incendiary speech during the Assam elections in which the presence of ‘Bangladeshi foreigners’ in the state was a big issue. Even the BJP disowned Vajpayee’s speech, which possibly inspired the massacre of over 2000 people, mostly Muslims, in Nellie, Assam, the same year.
Vajpayee, one of the shrewdest politicians of India, is known for negotiating multiple paradoxes: from militant nationalism to his secret family life; his stint as a communist; his indulgence in food; and his attempt to project himself as a moderate, if not a liberal. Exploring crucial milestones of Vajpayee’s career and his traits as a seasoned politician, the book looks at his relationship with leaders of his party and his love–hate association with the RSS and its feeder organizations. Thoroughly researched, supported by hard facts and accompanied by inside stories and anecdotes, insightful interviews and archival photographs, The Untold Vajpayee will open a window to the life and times of a poet-politician.",Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts"
Seductive Affair,Rishabh Puri,"Paperback,– 10 Jul 2018",3.2 out of 5 stars,267 customer reviews,"Prisha Khatri is a regular college graduate, focused on her career, desperate to finally move out of her parents’ house and freshly dumped by her successful fiancé. When she lands a job at a prestigious media house, she’s glad to have something to take her mind off her heartbreak. What she doesn’t expect is to be landed on a business trip with a famously fiery reporter Rajesh Lagheri. He’s travelling to a business conference for a story and doesn’t seem impressed by her involvement. But as soon as they’re out of the office, things change and it becomes clear that there is more to Rajesh’s trip than meets the eye. As Prisha is drawn into the story he’s trying to hide from their editor, their hunt for the story grows more intense and she finds herself growing closer to Rajesh. As their chemistry threatens to overwhelm them and Prisha is pulled deeper into the Seductive Affair, she must decide what matters most to her matters of the head or of the heart.",Indian Writing (Books),Romance
